slug,title,published_at,category,priority,content_type,source_count,path
20260504-02c3ef,"C2 로보틱스, 미국 수출용 첫 '스피어투스' 대형 무인잠수정 취역식 개최",2026-05-04T04:47:13.091014+00:00,weapons,P3,wire,1,articles/2026-05/20260504-02c3ef/
20260504-d6a334,"영국 해군, 무인 광해역 소해 시스템 탑재한 '하이브리드 해군' 운영 시작",2026-05-04T04:47:34.628123+00:00,doctrine,P3,wire,1,articles/2026-05/20260504-d6a334/
20260504-334aa6,아프리카 라이온 훈련 중 미군 2명 실종,2026-05-04T06:34:41.849535+00:00,operations,P2,original,2,articles/2026-05/20260504-334aa6/
20260504-657d56,"국방부, 민간 AI 기술 군 도입 가속화…4개 분야 400억 원 투입",2026-05-04T06:35:09.673211+00:00,tech,P3,wire,1,articles/2026-05/20260504-657d56/
20260504-5ce117,"김규하 육군참모총장 ""드론은 이제 개인화기""…전 부대 드론 전력 체계 구축",2026-05-04T06:35:22.082516+00:00,doctrine,P2,wire,1,articles/2026-05/20260504-5ce117/
20260504-942ecd,"해군잠수함사령부, 캐나다 초계잠수함 사업 지원 본격화",2026-05-04T06:35:41.109459+00:00,alliance,P3,wire,1,articles/2026-05/20260504-942ecd/
20260504-f1d3c2,"공군19전비, 무인기·화생방 위협 대응 전투태세훈련 실시",2026-05-04T06:36:00.209525+00:00,operations,P3,wire,1,articles/2026-05/20260504-f1d3c2/
20260504-7056da,"우크라이나 Inguar Defence, Inguar-3 기반 장갑 의료후송차량 개발",2026-05-04T06:36:19.934565+00:00,weapons,P3,wire,1,articles/2026-05/20260504-7056da/
20260504-a4755d,"C2 로보틱스, 미국 수출 첫 대형 무인 잠수정 '스피어투스' 취역",2026-05-04T06:36:39.871624+00:00,weapons,P3,wire,1,articles/2026-05/20260504-a4755d/
20260504-bf2aa2,"영국 해군, 무인 광해역 소해 시스템 탑재한 라임 베이함 운용 시작",2026-05-04T06:37:00.095564+00:00,operations,P3,wire,1,articles/2026-05/20260504-bf2aa2/
20260504-24ef54,"북한, 당 대회서 중기 경제·국방 계획 추진 궤도 진입",2026-05-04T06:37:22.455843+00:00,threats,P2,wire,1,articles/2026-05/20260504-24ef54/
20260504-1529f8,"우크라이나 군정보, 러시아 참전 북한군 1만4천명 이상 확인",2026-05-04T06:37:40.463978+00:00,operations,P1,wire,1,articles/2026-05/20260504-1529f8/
20260504-2ba251,"미 그린베레, 루손해협서 무인수상함정 해상 타격 훈련 실시",2026-05-04T06:37:59.287795+00:00,operations,P2,wire,1,articles/2026-05/20260504-2ba251/
20260504-e69d32,"미 7보병사단 포병대대, 필리핀 팔라완서 HIMARS 실사격 훈련 실시",2026-05-04T06:38:20.200817+00:00,operations,P3,wire,1,articles/2026-05/20260504-e69d32/
20260504-902486,"미 공군, F-15EX 이글 II 전투기 대량 구매 확대 추진",2026-05-04T06:38:42.507449+00:00,weapons,P2,wire,1,articles/2026-05/20260504-902486/
20260504-f76c8c,"미국 F-22 랩터 스텔스 전투기, 남중국해 인근에서 작전 전개",2026-05-04T06:39:03.174167+00:00,operations,P2,wire,1,articles/2026-05/20260504-f76c8c/
20260504-b12422,"미 육군, 자율형 무인 보급 드론 생산 계약 체결",2026-05-04T09:36:16.411825+00:00,weapons,P3,wire,1,articles/2026-05/20260504-b12422/
20260504-7809c6,"미 공군, F-15EX 이글 II 전투기 대량 구매 추진",2026-05-04T09:39:14.23554+00:00,weapons,P2,wire,1,articles/2026-05/20260504-7809c6/
20260504-98fc02,"미국 F-22 랩터 스텔스 전투기, 남중국해 인근에서 작전 전개",2026-05-04T09:39:33.294347+00:00,operations,P2,wire,1,articles/2026-05/20260504-98fc02/
20260504-086523,"해군잠수함사령부, 캐나다 초계잠수함 사업 지원 협력 본격화",2026-05-04T12:35:34.823338+00:00,alliance,P3,wire,1,articles/2026-05/20260504-086523/
20260504-7f5ac3,"미군, 34km 거리에서 드론 조종자 탐지하는 신형 차량 키트 운용",2026-05-04T12:36:13.857613+00:00,weapons,P3,wire,1,articles/2026-05/20260504-7f5ac3/
20260504-0df698,"네덜란드 스타트업, 유럽 군부대 대상 드론 마켓플레이스 'BASE' 구축",2026-05-04T12:36:34.807149+00:00,industry,P3,wire,1,articles/2026-05/20260504-0df698/
20260504-d329a7,"트럼프, 호르무즈 해협 좌초 선박 지원 작전 추진",2026-05-04T12:36:55.691861+00:00,operations,P2,wire,1,articles/2026-05/20260504-d329a7/
20260504-73df24,"미 7보병사단 포병대대, 필리핀 팔라완서 HIMARS 실사격 훈련 실시",2026-05-04T12:39:33.426582+00:00,operations,P3,wire,1,articles/2026-05/20260504-73df24/
20260504-b1721b,"국방부, 민간 AI 기술 군 도입 가속…4개 분야 20개 과제에 400억 원 투입",2026-05-04T15:34:34.977733+00:00,tech,P3,wire,1,articles/2026-05/20260504-b1721b/
20260504-b7cc42,"김규하 육군참모총장 ""드론은 이제 개인화기""…전 부대 드론 전력 체계 구축",2026-05-04T15:35:07.172046+00:00,doctrine,P2,wire,1,articles/2026-05/20260504-b7cc42/
20260504-91c64d,"공군19전투비행단, 무인기·화생방 위협 대응 전투태세훈련 실시",2026-05-04T15:35:22.798027+00:00,operations,P3,wire,1,articles/2026-05/20260504-91c64d/
20260504-f60179,"미국, 이란의 군함 공격 주장 부인…호르무즈 해협 통과 확인",2026-05-04T15:36:03.295704+00:00,operations,P2,wire,1,articles/2026-05/20260504-f60179/
20260504-21f9ec,"우크라이나 드론, 모스크바 고급 아파트 건물 공격...승전절 앞두고",2026-05-04T15:37:24.152688+00:00,operations,P2,wire,1,articles/2026-05/20260504-21f9ec/
20260504-60a43a,"트럼프, 호르무즈 해협 좌초 선박 지원 미군 작전 추진",2026-05-04T15:38:22.219135+00:00,operations,P2,wire,1,articles/2026-05/20260504-60a43a/
20260504-72c182,"미 그린베레, 루손해협서 폭발물 탑재 무인수상함정 함정격침 훈련 실시",2026-05-04T15:38:42.330993+00:00,operations,P2,wire,1,articles/2026-05/20260504-72c182/
20260504-507f18,"미군, 이란 소형 보트 6척 격침·미사일·드론 격추",2026-05-04T18:36:13.433363+00:00,operations,P1,wire,1,articles/2026-05/20260504-507f18/
20260504-3593c3,"미국 공군, 카타르 구입 항공기 개조해 새 에어포스원으로 올여름 인수",2026-05-04T18:37:32.677366+00:00,defense_policy,P3,wire,1,articles/2026-05/20260504-3593c3/
20260504-3e2573,"C2 로보틱스, 대형 무인 잠수정 '스피어투스' 미국 수출 첫 함정 취역식 개최",2026-05-04T18:39:02.349156+00:00,weapons,P3,wire,1,articles/2026-05/20260504-3e2573/
20260504-3961cd,"국제법과 빅테크 의존성, 현대 국가주권 위협 심화",2026-05-04T18:41:54.999494+00:00,geopolitics,P3,wire,1,articles/2026-05/20260504-3961cd/
20260504-9b7235,"필리핀 의원, 분쟁 남중국해 모래톱에 국기 게양",2026-05-04T18:43:34.039998+00:00,geopolitics,P2,wire,1,articles/2026-05/20260504-9b7235/
20260504-7dc951,"미 해군 니미츠급 항모 조지 워싱턴함, 일본 요코스카 입항",2026-05-04T18:52:34.756056+00:00,operations,P3,wire,1,articles/2026-05/20260504-7dc951/
20260504-522b69,미 해군 차관 대행에 퇴역 해군 윌리엄 토티 대령 임명,2026-05-04T18:56:19.437575+00:00,defense_policy,P3,wire,1,articles/2026-05/20260504-522b69/
20260504-f2e1ac,"이스라엘, 첫 KC-46 공중급유기 운용 시작",2026-05-04T21:35:34.269078+00:00,weapons,P3,wire,1,articles/2026-05/20260504-f2e1ac/
20260504-f08786,"미군, 이란 소형 보트 6척 격파·미사일·드론 격추",2026-05-04T21:36:53.808862+00:00,operations,P1,wire,1,articles/2026-05/20260504-f08786/
20260504-d2dbb9,"미 해군, 2028년까지 첫 FFX 호위함 실전 배치 목표",2026-05-04T21:38:17.975477+00:00,weapons,P2,wire,1,articles/2026-05/20260504-d2dbb9/
20260505-7c9c80,"미 해병대, 2029년 MUX 전술무인항공기 작전 시험 추진",2026-05-05T00:38:29.356822+00:00,weapons,P2,wire,1,articles/2026-05/20260505-7c9c80/
20260505-07ef8e,"미군, 마에스크 선사 Alliance Fairfax호의 호르무즈 해협 통과 호위",2026-05-05T03:37:11.935607+00:00,operations,P3,wire,1,articles/2026-05/20260505-07ef8e/
20260505-553f91,"미국, 이란 고속정 공격...마에스크 선박 호르무즈 해협 통과",2026-05-05T03:38:11.635611+00:00,operations,P1,wire,1,articles/2026-05/20260505-553f91/
20260505-528e68,"북한, 미국의 사이버 위협 경고에 '보복' 경고",2026-05-05T03:38:52.548269+00:00,threats,P3,wire,1,articles/2026-05/20260505-528e68/
20260505-376169,"미군 헬기, 호르무즈서 이란 보트 6척 격침",2026-05-05T04:47:09.773176+00:00,geopolitics,P1,original,2,articles/2026-05/20260505-376169/
20260505-4f9e31,"미국, NPT 평가회의서 북한 핵 도발 강력 비판…'조약 온전성 위협'",2026-05-05T04:48:47.044021+00:00,threats,P3,wire,1,articles/2026-05/20260505-4f9e31/
20260505-d365fc,"국제인권단체 ""우크라전 투입 북한군 1만4천 명 중 절반 사상""",2026-05-05T04:49:03.319158+00:00,threats,P2,wire,1,articles/2026-05/20260505-d365fc/
20260505-d40083,"중국, J-20·J-35 스텔스 전투기용 신형 스텔스 순항미사일 개발 중",2026-05-05T04:49:22.582758+00:00,weapons,P2,wire,1,articles/2026-05/20260505-d40083/
20260505-2cf2f3,"중국, 차세대 주력전차 '타입 100' 야전훈련 영상 공개",2026-05-05T04:49:41.824026+00:00,weapons,P2,wire,1,articles/2026-05/20260505-2cf2f3/
20260505-f95f75,"미 공군, T-7A 레드호크 저율생산 승인…초기 14대 도입 2억1900만 달러 계약",2026-05-05T04:50:01.118054+00:00,weapons,P2,wire,1,articles/2026-05/20260505-f95f75/
20260505-c10719,"펜타곤, 자율 무인기 예산 확대 속 자가조직화 드론 개발 추진",2026-05-05T04:50:23.507649+00:00,weapons,P2,wire,1,articles/2026-05/20260505-c10719/
20260505-bc2448,"네덜란드, 미래 방공함에 이지스 전투관리체계 도입 검토",2026-05-05T04:50:43.678392+00:00,weapons,P3,wire,1,articles/2026-05/20260505-bc2448/
20260505-d97e9f,"나토, 우크라이나 전쟁 교훈서 드론 투자 확대…저가 미사일이 차기 공중전 승패 결정할 것",2026-05-05T04:51:04.396927+00:00,weapons,P3,wire,1,articles/2026-05/20260505-d97e9f/
20260505-64ab90,"38 North, 북한 핵·화학·생물 방어 대대 추적 프로젝트 공개",2026-05-05T04:51:23.147197+00:00,threats,P2,wire,1,articles/2026-05/20260505-64ab90/
20260505-5b4605,"영국 해군, 무인함정 활용한 '하이브리드 함대' 구축으로 러시아 견제",2026-05-05T04:51:42.134264+00:00,alliance,P2,wire,1,articles/2026-05/20260505-5b4605/
20260505-bd4f80,"미 해군 항모 포드함, 홍해 작전 후 지중해로…냉전 이후 최장 314일 배치 지속",2026-05-05T04:52:01.461022+00:00,operations,P3,wire,1,articles/2026-05/20260505-bd4f80/
20260505-a77240,"미국·영국군, 리투아니아서 신흥 무인 전술 훈련 실시",2026-05-05T04:52:22.674588+00:00,operations,P2,wire,1,articles/2026-05/20260505-a77240/
20260505-6611d0,"호주군, 록히드마틴 HIMARS·PrSM 선정…장거리화력 연대 확충",2026-05-05T04:52:44.030208+00:00,weapons,P2,wire,1,articles/2026-05/20260505-6611d0/
20260505-959be3,"중국 해군, 스카보로 암초 상공에서 대함 폭격기 전술훈련 실시",2026-05-05T06:36:13.611468+00:00,operations,P2,wire,1,articles/2026-05/20260505-959be3/
20260505-324217,"터키, 자국 최대·최고속 탄도미사일 '타이푼 블록 4' 공개",2026-05-05T09:36:34.932678+00:00,weapons,P2,wire,1,articles/2026-05/20260505-324217/
20260505-158db2,"미군, 필리핀 훈련에서 신형 타이폰 발사대로 토마호크 미사일 발사",2026-05-05T09:36:50.642051+00:00,operations,P2,wire,1,articles/2026-05/20260505-158db2/
20260505-5dee11,리투아니아서 미군 로봇·드론 전투실험,2026-05-05T12:37:00.757639+00:00,tech,P2,original,2,articles/2026-05/20260505-5dee11/
20260505-f8a4ba,"미 육군, 필리핀 훈련서 타이폰 발사대로 토마호크 실사격",2026-05-05T12:37:56.82313+00:00,operations,P1,original,2,articles/2026-05/20260505-f8a4ba/
20260505-9fb2d5,"트럼프, 한국 선박 피격 언급하며 호르무즈 해협 작전 참여 촉구",2026-05-05T12:38:18.635035+00:00,geopolitics,P2,wire,1,articles/2026-05/20260505-9fb2d5/
20260505-47e645,"미국·일본·필리핀, 중국 ZBD-05 모형을 실탄 사격 표적으로 사용",2026-05-05T12:38:37.252367+00:00,operations,P2,wire,1,articles/2026-05/20260505-47e645/
20260505-2efc83,"독일 국방장관, 미군 감축으로 인한 장거리 타이폰 미사일 공백 우려",2026-05-05T12:38:57.12335+00:00,alliance,P2,wire,1,articles/2026-05/20260505-2efc83/
20260505-7d6644,"미 공군, T-7A 레드호크 저율생산 승인…2억1900만 달러 계약",2026-05-05T12:39:17.298425+00:00,weapons,P2,wire,1,articles/2026-05/20260505-7d6644/
20260505-57ace2,"B-52H 엔진 교체 설계검토 통과, 올해 첫 개조 착수",2026-05-05T14:23:33.103044+00:00,weapons,P2,original,2,articles/2026-05/20260505-57ace2/
20260505-496a12,"터키 ASELSAN, 자율 해상무인체계 2종 공개",2026-05-05T14:24:09.234547+00:00,weapons,P3,wire,1,articles/2026-05/20260505-496a12/
20260505-109c07,"우크라이나, 올해 무기수출 금지 해제 추진…걸프국가 수요 집중",2026-05-05T14:24:22.719699+00:00,industry,P3,wire,1,articles/2026-05/20260505-109c07/
20260505-687f6d,"미 해병대, 정찰요원 양성 체계 개편…현장 준비도 강화",2026-05-05T14:24:35.597194+00:00,doctrine,P3,wire,1,articles/2026-05/20260505-687f6d/
20260505-397382,"미스터리 랜치, 특수작전용 맞춤형 장비 운반 시스템 서비스 개시",2026-05-05T14:24:49.529003+00:00,industry,P3,wire,1,articles/2026-05/20260505-397382/
20260505-eb2e17,"미 육군사관학교, 자율화·로봇·예측분석이 미래전 보급지원 좌우한다",2026-05-05T14:25:02.499778+00:00,doctrine,P2,wire,1,articles/2026-05/20260505-eb2e17/
20260505-4468b9,"미 육군, 연안 무인정 '리토럴 램페이지' 시험 추진",2026-05-05T14:25:16.621287+00:00,weapons,P3,wire,1,articles/2026-05/20260505-4468b9/
20260505-cb5e2d,"미국, 호르무즈 해협 상선 호위작전 참여 촉구…헤그세스 장관 ""한국 선박과 연락 유지""",2026-05-05T15:38:36.837364+00:00,alliance,P3,wire,1,articles/2026-05/20260505-cb5e2d/
20260505-875fb2,"미군·태평양 동맹, 발리캐탄 훈련서 상륙작전 격퇴 훈련",2026-05-05T15:39:08.961875+00:00,operations,P2,wire,1,articles/2026-05/20260505-875fb2/
20260505-ff642b,"미 해군, 토마호크 미사일 수요 급증…획득 개혁의 필요성 대두",2026-05-05T15:39:31.80944+00:00,defense_policy,P3,wire,1,articles/2026-05/20260505-ff642b/
20260505-41eddb,"러시아·우크라이나, 상충하는 휴전안 제시…공격은 계속",2026-05-05T15:39:48.967036+00:00,geopolitics,P1,wire,1,articles/2026-05/20260505-41eddb/
20260505-67ccc4,"NATO, AI 생성 정보 공유 정책 마련 필요…현재는 임시방편 의존",2026-05-05T18:35:59.287987+00:00,doctrine,P2,wire,1,articles/2026-05/20260505-67ccc4/
20260505-c3fcee,"미군, 무기·시스템 연결 위해 '해커톤' 개최",2026-05-05T18:37:05.526398+00:00,doctrine,P3,wire,1,articles/2026-05/20260505-c3fcee/
20260505-5f8a0d,"미군, 신형 타이폰 발사대에서 토마호크 미사일 발사 성공",2026-05-05T18:37:44.106554+00:00,weapons,P2,wire,1,articles/2026-05/20260505-5f8a0d/
20260505-1e0717,"젤렌스키, 이주민 모집 관련 러시아 제재 추진 발표",2026-05-05T18:39:24.118736+00:00,geopolitics,P3,wire,1,articles/2026-05/20260505-1e0717/
20260505-ba0614,"미 국방부, 호르무즈 해협 기뢰 위협에도 안전 통행 보장",2026-05-05T21:40:11.561041+00:00,geopolitics,P2,wire,1,articles/2026-05/20260505-ba0614/
20260505-4e6aa9,휴전 중에도 이란의 공격 계속…미군 겨냥 10회 공격,2026-05-05T21:43:40.740387+00:00,threats,P2,wire,1,articles/2026-05/20260505-4e6aa9/
20260505-178970,"미 해군, 해상 재보급함으로 구축함 해상 재무장 시험 추진",2026-05-05T21:45:03.767391+00:00,operations,P2,wire,1,articles/2026-05/20260505-178970/
20260505-d9e95d,"미 공군 퇴역 전투기 조종사, 중국 공군에 미군 전술 전수 혐의",2026-05-05T21:46:22.140534+00:00,threats,P2,wire,1,articles/2026-05/20260505-d9e95d/
20260505-f81084,"미 해군, 드론·AI 활용한 마약밀수선 추적 시험 실시",2026-05-05T21:47:32.488586+00:00,operations,P3,wire,1,articles/2026-05/20260505-f81084/
20260505-1c7d6e,"AEVEX, 퍼시스턴트 시스템 Wave Relay 네트워크 생태계 참여",2026-05-05T21:48:49.433224+00:00,tech,P3,wire,1,articles/2026-05/20260505-1c7d6e/
20260505-f3ae79,"드론실드·테르마, 다층 대드론 체계 개발 협력 MOU 체결",2026-05-05T21:50:00.373346+00:00,weapons,P3,wire,1,articles/2026-05/20260505-f3ae79/
20260505-5f5ccd,"미 공군, B-52H 전략폭격기 엔진 업그레이드 올해 착수",2026-05-05T21:51:26.942473+00:00,weapons,P3,wire,1,articles/2026-05/20260505-5f5ccd/
20260506-385784,"미국, 스텔스 무기창 탑재용 소형 AIM-9X 사이드와인더 개발 중",2026-05-06T01:56:27.360486+00:00,weapons,P2,wire,1,articles/2026-05/20260506-385784/
20260506-cfaafd,"미 해병대, 보병 스카우트 독립 주특기 신설 검토",2026-05-06T01:56:39.023452+00:00,doctrine,P3,original,2,articles/2026-05/20260506-cfaafd/
20260506-0ecc5b,"미국·필리핀·캐나다·일본, 해안 상륙 방어 연합훈련 실시",2026-05-06T01:56:49.877767+00:00,operations,P2,wire,1,articles/2026-05/20260506-0ecc5b/
20260506-e8aa76,"미군, 드론·전자전 결합한 신위협 재현 훈련 실시",2026-05-06T01:57:03.370609+00:00,operations,P3,wire,1,articles/2026-05/20260506-e8aa76/
20260506-741254,"국방대 ""AI·유무인 복합체계 운용 위해 부대 운영방식 전면 재설계 필요""",2026-05-06T04:55:52.193001+00:00,doctrine,P2,wire,1,articles/2026-05/20260506-741254/
20260506-ed02a1,"도산안창호함, 하와이 히캄기지 입항…한·캐 연합훈련 참가",2026-05-06T04:56:03.919012+00:00,operations,P3,wire,1,articles/2026-05/20260506-ed02a1/
20260506-70d955,"미군, 호넷 원웨이 공격드론 리투아니아서 배치",2026-05-06T04:56:17.048167+00:00,operations,P2,wire,1,articles/2026-05/20260506-70d955/
20260506-b599e1,"일본, 필리핀에 함정 이전 추진…인도태평양 안보역할 확대",2026-05-06T05:55:51.833489+00:00,alliance,P3,wire,1,articles/2026-05/20260506-b599e1/
20260506-27fd7e,"타이폰, 필리핀서 토마호크 첫 실사격",2026-05-06T07:26:05.762837+00:00,operations,P2,original,2,articles/2026-05/20260506-27fd7e/
20260506-4d9b4c,"이란 혁명수비대, 미국 본토 공격 위협했으나 실행 능력 부족",2026-05-06T07:26:21.450458+00:00,threats,P2,wire,1,articles/2026-05/20260506-4d9b4c/
20260506-4719f1,"미 우주군, 안드로메다 위성 계약 40억 달러 증액",2026-05-06T07:26:33.055354+00:00,weapons,P2,wire,1,articles/2026-05/20260506-4719f1/
20260506-7b0d9f,"ASELSAN, 수중·수상 무인전투체계 2종 공개",2026-05-06T07:55:21.238969+00:00,weapons,P3,original,2,articles/2026-05/20260506-7b0d9f/
20260506-5b631b,"일본-필리핀, 아부쿠마급 호위함 이전 검토 워킹그룹 출범",2026-05-06T08:24:15.865901+00:00,alliance,P3,wire,1,articles/2026-05/20260506-5b631b/
20260506-9b175a,"우크라이나, 북한 국민 학생 허가증 발급 제도 도입",2026-05-06T08:24:47.974137+00:00,geopolitics,P2,wire,1,articles/2026-05/20260506-9b175a/
20260506-fe1c80,"미국 무인기 대응 훈련사, 추락 드론 위협 대비 프로그램 출시",2026-05-06T08:54:16.997884+00:00,doctrine,P3,wire,1,articles/2026-05/20260506-fe1c80/
20260506-05f744,"러시아, 포세이돈 탑재 '하바롭스크' 잠수함 개발 진행",2026-05-06T08:54:48.951836+00:00,weapons,P2,wire,1,articles/2026-05/20260506-05f744/
20260506-5192a4,"육군, 의복형 웨어러블 로봇 야전 실증 추진",2026-05-06T09:25:06.726697+00:00,weapons,P3,wire,1,articles/2026-05/20260506-5192a4/
20260506-d4b9d5,"러시아, 승전절 행사 기간 핵탄두 장착 가능 ICBM 시험 예정",2026-05-06T09:25:39.091873+00:00,threats,P2,wire,1,articles/2026-05/20260506-d4b9d5/
20260506-a3ea38,"터키 STM, 군집 운용 가능한 자살형 무인정 'YAKTU' 공개",2026-05-06T09:25:51.548132+00:00,weapons,P2,wire,1,articles/2026-05/20260506-a3ea38/
20260506-d0d7f3,"NATO 다영역작전 전략, 소규모 회원국의 관련성 약화 우려",2026-05-06T09:26:04.229628+00:00,doctrine,P3,wire,1,articles/2026-05/20260506-d0d7f3/
20260506-eb542b,"유럽 무인지상차량 제조사, 우크라이나에 수백 대 추가 배치",2026-05-06T09:37:09.03584+00:00,weapons,P3,wire,1,articles/2026-05/20260506-eb542b/
20260506-3332e3,"헤그세스 미국 국방장관, 호르무즈 해협 함정 호위는 '세계에 대한 선물'",2026-05-06T09:37:41.396844+00:00,geopolitics,P3,wire,1,articles/2026-05/20260506-3332e3/
20260506-fe90e9,"북한, 헌법 개정으로 '영토조항 신설'·'통일조항 삭제'",2026-05-06T10:24:59.43186+00:00,geopolitics,P2,wire,1,articles/2026-05/20260506-fe90e9/
20260506-6d3770,"북한, 개정 헌법으로 남북 경계선 재정의…경계 표현은 모호",2026-05-06T10:25:30.165898+00:00,geopolitics,P2,wire,1,articles/2026-05/20260506-6d3770/
20260506-a7ee16,"미국 38 Sierra, 추락 드론 대응 훈련 프로그램 'DIRT' 출시",2026-05-06T10:25:40.609297+00:00,tech,P3,wire,1,articles/2026-05/20260506-a7ee16/
20260506-65f93c,"미 우주군, ThinKom의 위장형 위성 지상국 선정",2026-05-06T15:37:33.261941+00:00,tech,P3,wire,1,articles/2026-05/20260506-65f93c/
20260506-a8ed2c,"레이시온, 샤프사이트 레이더 최대 규모 수주 120대 계약",2026-05-06T15:38:03.587835+00:00,industry,P3,wire,1,articles/2026-05/20260506-a8ed2c/
20260506-df2819,"미 육군, 연구개발비 21억 달러 증액 추진",2026-05-06T15:38:15.45019+00:00,defense_policy,P3,wire,1,articles/2026-05/20260506-df2819/
20260506-110fe8,"터키, 리비아 대립 세력 연합훈련 추진…'하나의 군대, 하나의 리비아' 기조",2026-05-06T15:38:27.848049+00:00,operations,P3,wire,1,articles/2026-05/20260506-110fe8/
20260506-93cd80,"미 해안경비대, 특수임무사령부 창설",2026-05-06T15:38:38.024401+00:00,operations,P2,original,2,articles/2026-05/20260506-93cd80/
20260506-690f32,"미 항모 포드함, 지브롤터 해협 통과해 대서양 진입",2026-05-06T15:38:51.31407+00:00,operations,P3,wire,1,articles/2026-05/20260506-690f32/
20260506-dcca56,"20년 OPCON 이양 논쟁, 이제 '어떻게'의 문제로",2026-05-06T15:52:02.221922+00:00,alliance,P3,wire,1,articles/2026-05/20260506-dcca56/
20260506-32b563,"미국 Owl Cyber Defense, 기밀망용 iOS 보안 게이트웨이 'XD Tyton' 공개",2026-05-06T15:52:33.543212+00:00,tech,P2,wire,1,articles/2026-05/20260506-32b563/
20260506-301218,"미국, 호르무즈 해협 상선 호송 작전 '프로젝트 프리덤' 일시 중단",2026-05-06T17:30:47.060913+00:00,operations,P3,wire,1,articles/2026-05/20260506-301218/
20260506-69305e,"미 국방부, F-35 양자컴퓨팅 위협 대비 암호화 소프트웨어 개선",2026-05-06T17:31:19.366694+00:00,weapons,P2,wire,1,articles/2026-05/20260506-69305e/
20260506-fe593e,"미 육군, 2026년 예산안에서 R&D 투자 21억 달러 증액 추진",2026-05-06T17:31:32.22593+00:00,defense_policy,P3,wire,1,articles/2026-05/20260506-fe593e/
